"WSMID","STOCKID","2004","2005","2006","ABRASION RESISTANCE","ABS","ACID INCLUDED","ACTUATION","ANTI-FOG","ANTI-SCRATCH","ASSEMBLED","BAR DIAMETER","BATTERY CAPACITY","BATTERY CHEMISTRY","BATTERY TYPE","BRAKE LIGHT INCLUDED","BRAKE LIGHT SWITCH INCLUDED","BRAKE MASTER CYLINDER BORE DIAMETER","BULB STYLE","C.C.A.","CAPACITY AH","CERTIFICATION","CHAIN SIZE","CHAIN TYPE","CLAMP AREA BAR DIAMETER","CLAMPING DIAMETER","CLEAR-COATED","COLOR","COLOR/FINISH","COMMUNICATOR","COMPOUND","CONFIGURATION 1","CONFIGURATION 2","CONNECTION LINK","CONSTRUCTION","DIAMETER","DIAMETER (MM)","DRILL MOUNTING HOLE INCLUDED","DRILLED","DUAL LENS","ELECTRIC","END CAP STYLE","EURO SIZE","FILLER PLATE INCLUDED","FINISH","FIT","FITTED SPRING","FOG FREE","FORK SIZE","FRONT TEETH","FUNCTION","GENDER","GLOW IN THE DARK","GRAPHIC","GRIP LENGTH","GRIP(S) INCLUDED","HAT SIZE","HEATED","HOUSING COLOR","IDLE CABLE INCLUDED","ILLUMINATED","INCHES","INCLUDES BACK PROTECTOR","INCLUDES CROSSBAR PAD","INCLUDES ELBOW GUARDS","INCLUDES KIDNEY BELT","INCLUDES SHOULDER GUARDS","INNER DIAMETER","INSIDE DIAMETER","INTERNAL SUN SHIELD CLEAR","INTERNAL SUN SHIELD SMOKE","KNUCKLE PROTECTION","KNURLED ENDS","LICENSE PLATE LIGHT INCLUDED","LINKS","MADE IN THE U.S.A.","MARKET SEGMENT","MATERIAL","MAX ENGINE CC","METRIC","MOISTURE WICKING","MOUNTING LENGTH","MOUNTING POSITION","NET WEIGHT","NUMBER OF BUTTONS","OIL LEVEL","OUTER DIAMETER","PACKAGING","PADDED SHIN INSERT","PADS PER PACKAGE","PART MODEL","PINLOCK EQUIPPED","PITCH","POSITION","PRODUCT DIMENSION","PRODUCT HEIGHT","PRODUCT LENGTH","PRODUCT WEIGHT","PRODUCT WIDTH","RATE N/MM","REAR TEETH","REC. OHLINS OIL","REFLECTIVE","REMOVABLE CHEEK PADS","REMOVABLE CHIN CURTAIN","REMOVABLE LINER","RESISTANCE RATING","RFI SUPPRESSION","ROTOR CARRIER","SEAL TYPE","SHAPE","SIDE","SIZE","SIZE OF BAR","SLIP-ON","SPARK PLUG BOOT ANGLE","SPARK PLUG BOOT COLOR","SPECIFIC APPLICATION","STANDARD CONNECTION LINK","STROKE","STYLE","TEAR-OFF COMPATIBLE","TEETH","TENSILE STRENGTH","TERMINAL CONFIGURATION","THROTTLE CABLE INCLUDED","TOUCHSCREEN","TURN SIGNAL INCLUDED","TYPE","U.S. MILITARY HI-VISIBILITY SPECIFICATIONS","USA SIZE","VENTED","VISCOSITY","VOLTAGE","VOLUME","WATERPROOF","WINDPROOF","WIRE DIAMETER","WITH SWITCH"
"30484419","ATTP-317132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30484455","ATTP-605112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30783549","Carbonin-A5100AF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30783564","Carbonin-ALU16002Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30783570","Carbonin-ALU4002D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30783572","Carbonin-B1425AF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30783573","Carbonin-B2100AF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30783581","Carbonin-B3100AF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30783582","Carbonin-B3101AF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30783591","Carbonin-B3425AF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
